Unnamed: 0,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,"frozenset({'Asian Casuals  (White, White)'})",frozenset({'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'}),0.1,0.1,0.1,1.0,10.0,0.09,inf,1.0
1,frozenset({'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'}),"frozenset({'Asian Casuals  (White, White)'})",0.1,0.1,0.1,1.0,10.0,0.09,inf,1.0
2,frozenset({'Tshirt'}),frozenset({'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'}),0.1,0.1,0.1,1.0,10.0,0.09,inf,1.0
3,frozenset({'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'}),frozenset({'Tshirt'}),0.1,0.1,0.1,1.0,10.0,0.09,inf,1.0
4,"frozenset({'Asian Casuals  (White, White)'})",frozenset({'Tshirt'}),0.1,0.1,0.1,1.0,10.0,0.09,inf,1.0
5,frozenset({'Tshirt'}),"frozenset({'Asian Casuals  (White, White)'})",0.1,0.1,0.1,1.0,10.0,0.09,inf,1.0
6,frozenset({'EthnoVogue'}),frozenset({'eaing4'}),0.3,0.3,0.3,1.0,3.333333333333333,0.21,inf,1.0
7,frozenset({'eaing4'}),frozenset({'EthnoVogue'}),0.3,0.3,0.3,1.0,3.333333333333333,0.21,inf,1.0
8,frozenset({'EthnoVogue'}),frozenset({'heels'}),0.3,0.3,0.3,1.0,3.333333333333333,0.21,inf,1.0
9,frozenset({'heels'}),frozenset({'EthnoVogue'}),0.3,0.3,0.3,1.0,3.333333333333333,0.21,inf,1.0
10,frozenset({'Ghosts of The Silent Hills: Stories based on true hauntings'}),frozenset({'Son of Frankenstein'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
11,frozenset({'Son of Frankenstein'}),frozenset({'Ghosts of The Silent Hills: Stories based on true hauntings'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
12,frozenset({'Ghosts of The Silent Hills: Stories based on true hauntings'}),frozenset({'The haunting'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
13,frozenset({'The haunting'}),frozenset({'Ghosts of The Silent Hills: Stories based on true hauntings'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
14,frozenset({'HDMI 1.0 Cable'}),frozenset({'Lazy Bone TV remote'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
15,frozenset({'Lazy Bone TV remote'}),frozenset({'HDMI 1.0 Cable'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
16,"frozenset({'Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)'})",frozenset({'HDMI 1.0 Cable'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
17,frozenset({'HDMI 1.0 Cable'}),"frozenset({'Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)'})",0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
18,"frozenset({'Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)'})",frozenset({'Lazy Bone TV remote'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
19,frozenset({'Lazy Bone TV remote'}),"frozenset({'Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)'})",0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
20,frozenset({'sofa'}),frozenset({'Nilkamal Ursa Metal Queen Bed'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
21,frozenset({'Nilkamal Ursa Metal Queen Bed'}),frozenset({'sofa'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
22,frozenset({'wardrobe'}),frozenset({'Nilkamal Ursa Metal Queen Bed'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
23,frozenset({'Nilkamal Ursa Metal Queen Bed'}),frozenset({'wardrobe'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
24,frozenset({'Son of Frankenstein'}),frozenset({'The haunting'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
25,frozenset({'The haunting'}),frozenset({'Son of Frankenstein'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
26,frozenset({'heels'}),frozenset({'eaing4'}),0.3,0.3,0.3,1.0,3.333333333333333,0.21,inf,1.0
27,frozenset({'eaing4'}),frozenset({'heels'}),0.3,0.3,0.3,1.0,3.333333333333333,0.21,inf,1.0
28,frozenset({'sofa'}),frozenset({'wardrobe'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
29,frozenset({'wardrobe'}),frozenset({'sofa'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
30,"frozenset({'Asian Casuals  (White, White)', 'Tshirt'})",frozenset({'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'}),0.1,0.1,0.1,1.0,10.0,0.09,inf,1.0
31,"frozenset({'Asian Casuals  (White, White)', 'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'})",frozenset({'Tshirt'}),0.1,0.1,0.1,1.0,10.0,0.09,inf,1.0
32,"frozenset({'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)', 'Tshirt'})","frozenset({'Asian Casuals  (White, White)'})",0.1,0.1,0.1,1.0,10.0,0.09,inf,1.0
33,"frozenset({'Asian Casuals  (White, White)'})","frozenset({'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)', 'Tshirt'})",0.1,0.1,0.1,1.0,10.0,0.09,inf,1.0
