,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,"frozenset({'Asian Casuals  (White, White)'})",frozenset({'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'}),0.1,0.1,0.1,1.0,10.0,0.09,inf,0.9999999999999999
1,frozenset({'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'}),"frozenset({'Asian Casuals  (White, White)'})",0.1,0.1,0.1,1.0,10.0,0.09,inf,0.9999999999999999
2,frozenset({'Tshirt'}),frozenset({'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'}),0.1,0.1,0.1,1.0,10.0,0.09,inf,0.9999999999999999
3,frozenset({'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'}),frozenset({'Tshirt'}),0.1,0.1,0.1,1.0,10.0,0.09,inf,0.9999999999999999
4,"frozenset({'Asian Casuals  (White, White)'})",frozenset({'Tshirt'}),0.1,0.1,0.1,1.0,10.0,0.09,inf,0.9999999999999999
5,frozenset({'Tshirt'}),"frozenset({'Asian Casuals  (White, White)'})",0.1,0.1,0.1,1.0,10.0,0.09,inf,0.9999999999999999
6,frozenset({'EthnoVogue'}),frozenset({'eaing4'}),0.3,0.3,0.3,1.0,3.3333333333333335,0.21,inf,1.0
7,frozenset({'eaing4'}),frozenset({'EthnoVogue'}),0.3,0.3,0.3,1.0,3.3333333333333335,0.21,inf,1.0
8,frozenset({'EthnoVogue'}),frozenset({'heels'}),0.3,0.3,0.3,1.0,3.3333333333333335,0.21,inf,1.0
9,frozenset({'heels'}),frozenset({'EthnoVogue'}),0.3,0.3,0.3,1.0,3.3333333333333335,0.21,inf,1.0
10,frozenset({'Ghosts of The Silent Hills: Stories based on true hauntings'}),frozenset({'Son of Frankenstein'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
11,frozenset({'Son of Frankenstein'}),frozenset({'Ghosts of The Silent Hills: Stories based on true hauntings'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
12,frozenset({'The haunting'}),frozenset({'Ghosts of The Silent Hills: Stories based on true hauntings'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
13,frozenset({'Ghosts of The Silent Hills: Stories based on true hauntings'}),frozenset({'The haunting'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
14,frozenset({'Lazy Bone TV remote'}),frozenset({'HDMI 1.0 Cable'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
15,frozenset({'HDMI 1.0 Cable'}),frozenset({'Lazy Bone TV remote'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
